Grant Title,Agency,Category,Short Summary,URL,Posted Date,Deadline,Days Left,Last Seen,Source,_id
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4079b370-9d13-406d-a234-2697495419d5,2025-09-22,2025-03-10,,2025-10-12,simpler.grants.gov,001534acd84e0ca6
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/2ab7090c-1bc9-4be5-8663-db26b2ae0653,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,00379a741182425f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/62cbc866-169b-474c-9dc9-cae3aa77fb4b,2025-06-12,2025-03-10,,2025-10-12,simpler.grants.gov,006d14290e32fc56
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/35b748eb-a6eb-4370-9f34-2c9fce97f3c2,2023-12-01,2025-03-10,,2025-10-12,simpler.grants.gov,009a8c42bb0b3ff1
,Administration for Children and Families - ACYF/CB,,Description,https://simpler.grants.gov/opportunity/904b8c9e-0454-46f0-9679-f78b410c80d4,2024-08-13,2025-03-10,,2025-10-12,simpler.grants.gov,009c82e672e45483
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b1e82056-6c14-49e9-8a70-d55ebe7bad28,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,00b94336d05bc68d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e18ff1b5-c4e9-4868-8e28-f34a9b023d19,2025-09-10,2025-03-10,,2025-10-12,simpler.grants.gov,00d368b649abacd1
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/cac867de-ce7c-493d-a249-bb982e14cb95,2025-01-04,2025-03-10,,2025-10-12,simpler.grants.gov,00e769bd356e963a
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/08c3e255-51ed-4d45-8526-01b16fe94ca6,2023-04-26,2025-03-10,,2025-10-12,simpler.grants.gov,00e940fd5395a2ed
,U.S. Mission to Italy,,Description,https://simpler.grants.gov/opportunity/1a2d77c4-ef72-4978-b311-6511e5145f50,2021-12-20,2025-03-10,,2025-10-12,simpler.grants.gov,01465b1ca3d499b7
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/17546621-c760-4f5f-97ad-bed6682eae03,2024-12-11,2025-03-10,,2025-10-12,simpler.grants.gov,0194b8a955c3aca0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/68e1c3f7-51e4-472d-bc5d-89d4deb2eda0,2025-08-26,2025-03-10,,2025-10-12,simpler.grants.gov,01b6ce638ecc0485
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/3d6a4aa9-2954-4c46-8d59-01be81f4e015,2024-12-18,2025-03-10,,2025-10-12,simpler.grants.gov,01d592e503fa3a4c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6d737664-d766-43c0-9563-1f8053ede38a,2024-01-22,2025-03-10,,2025-10-12,simpler.grants.gov,01e0847a57cda95d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f42f1d0a-6d73-4d8f-82f7-9175d256450a,2024-12-30,2025-03-10,,2025-10-12,simpler.grants.gov,0232782a13400157
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/64ad28a5-f0c6-402a-aaab-2d355a84ef2e,2009-03-06,2025-03-10,,2025-10-12,simpler.grants.gov,0233a1af20da6b69
,U.S. Mission to Albania,,Description,https://simpler.grants.gov/opportunity/31c10b18-b02d-40e2-b612-02fa501565b0,2023-04-18,2025-03-10,,2025-10-12,simpler.grants.gov,023436883e5f0aac
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c4e39e95-ac54-466c-8d9a-774c50c6247c,2025-05-12,2025-03-10,,2025-10-12,simpler.grants.gov,025e4f58dad333d9
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/827dcfb3-b730-4160-94e6-eb1ceb95bda4,2024-04-19,2025-03-10,,2025-10-12,simpler.grants.gov,02641bd70d192678
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/a18b2723-d27b-4e84-bf00-1b5042bf92b5,2024-07-16,2025-03-10,,2025-10-12,simpler.grants.gov,027b27bee14880dc
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b1083bce-231d-4e01-bd91-999fc85a4295,2024-04-24,2025-03-10,,2025-10-12,simpler.grants.gov,02880258b2d0efc9
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/92c259c8-0ced-4420-b023-0e894fd2a0cf,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,02b73149152dbce8
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/1750ece3-d50d-4613-a971-2965051fb638,2025-07-21,2025-03-10,,2025-10-12,simpler.grants.gov,02c268137d4aba97
,DARPA - Tactical Technology Office,,Description,https://simpler.grants.gov/opportunity/de7207c4-980f-4dba-a286-e96db65fd55e,2025-06-23,2025-03-10,,2025-10-12,simpler.grants.gov,02d4141327fe938d
,Rural Utilities Service,,Description,https://simpler.grants.gov/opportunity/99085685-c82a-44d8-b3ec-73c91bdd976b,2025-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,02f4f1a31534968f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/2ce00c65-6a64-4598-8adf-11920c911975,2024-11-21,2025-03-10,,2025-10-12,simpler.grants.gov,02fee009067f18fb
,Environmental Protection Agency,,Description,https://simpler.grants.gov/opportunity/4d3519d0-999d-476d-90d8-3f8cba678109,2025-09-08,2025-03-10,,2025-10-12,simpler.grants.gov,031b36366e486ed0
,Bureau of Justice Assistance,,Description,https://simpler.grants.gov/opportunity/c5c61f07-8e70-477a-9f21-cad94c0b4955,2025-09-16,2025-03-10,,2025-10-12,simpler.grants.gov,033bd49147f47028
,National Park Service,,Description,https://simpler.grants.gov/opportunity/67757288-6bef-44bb-9ded-2eb9e80e38ca,2016-07-14,2025-03-10,,2025-10-12,simpler.grants.gov,034762742a386646
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6c418e5b-5ca6-48bf-be5c-ccd0ee67dc8e,2024-11-15,2025-03-10,,2025-10-12,simpler.grants.gov,0375c1399d57662a
,Bureau of Reclamation,,Description,https://simpler.grants.gov/opportunity/43952533-c45a-4a3a-a761-f379a86511c4,2025-08-13,2025-03-10,,2025-10-12,simpler.grants.gov,03e9cb9285dea3a5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/21ec23af-652b-4cc9-bcce-dd2fb6b439f2,2025-05-13,2025-03-10,,2025-10-12,simpler.grants.gov,043b220fb1e449b8
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/ba7325bb-1f37-4b10-bfbb-61ecb8528831,2024-02-15,2025-03-10,,2025-10-12,simpler.grants.gov,0455e786865b49af
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/cb36f642-f92b-4b27-9bc8-47440c03eb09,2025-09-09,2025-03-10,,2025-10-12,simpler.grants.gov,0480112404edf3ef
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/e98a1079-d5f5-4d32-a899-0502b46387c8,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,04f69919baa9085b
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ce7b2eb1-fb49-4460-81ea-04064394eaf4,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,052d2e7707f0800b
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/a07c8b2a-b136-459e-9d43-8e74aaa6e22f,2018-05-24,2025-03-10,,2025-10-12,simpler.grants.gov,0555947bf9033797
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9a5e2863-99bb-4096-8cf7-afd74bd8b088,2025-09-10,2025-03-10,,2025-10-12,simpler.grants.gov,056fa4aaf818b2ed
,National Park Service,,Description,https://simpler.grants.gov/opportunity/c0c86c55-258c-46d6-b414-a9f56c029b8e,2025-09-09,2025-03-10,,2025-10-12,simpler.grants.gov,057571868624f0f6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ed8489ff-2669-4c34-9322-29d7d0e774ea,2021-10-12,2025-03-10,,2025-10-12,simpler.grants.gov,058b48afa4d75f55
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/93b83724-16d7-4007-8c29-0855ea9769f8,2024-10-17,2025-03-10,,2025-10-12,simpler.grants.gov,05a3c4209b76fbaa
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/63959bbd-0103-4cd8-8d6e-458b7364381e,2021-07-29,2025-03-10,,2025-10-12,simpler.grants.gov,05dfc3cabdadbf00
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7504e83c-1dad-48aa-810a-8491e6d9fab7,2024-02-22,2025-03-10,,2025-10-12,simpler.grants.gov,0600086a844df2b6
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/c161721b-cd02-466c-b932-7fa8fff7f848,2022-03-08,2025-03-10,,2025-10-12,simpler.grants.gov,060f3fab36e5648a
,DOC NOAA - ERA Production,,Description,https://simpler.grants.gov/opportunity/9fd4ae6c-672c-4fdd-9fae-d795a50b9681,2024-08-27,2025-03-10,,2025-10-12,simpler.grants.gov,0616ffdc4ea004e1
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/55ace8a7-76fe-4727-b882-c231a2832875,2025-09-09,2025-03-10,,2025-10-12,simpler.grants.gov,069297544152b07e
,Bureau of Justice Assistance,,Description,https://simpler.grants.gov/opportunity/d3b9d691-40d4-4ec1-b49e-f6397c340c32,2025-09-17,2025-03-10,,2025-10-12,simpler.grants.gov,06adb318ae8c44d4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/de8f7648-cc2b-4ab7-aed9-41760ba07f86,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,06e8d136809a5fc9
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/23ccaf09-b456-4b43-991a-f95b07659edf,2024-09-11,2025-03-10,,2025-10-12,simpler.grants.gov,06eee0e2e935e9ae
,Administration for Children and Families - OHS,,Description,https://simpler.grants.gov/opportunity/d056d38b-e4f9-410c-8fde-5cfa7ea6a5c3,2025-06-26,2025-03-10,,2025-10-12,simpler.grants.gov,07021f78870065a2
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/26116df5-40e6-4c83-8e5a-d90664b418ba,2025-05-28,2025-03-10,,2025-10-12,simpler.grants.gov,07160e16b6861493
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/3123ee82-9741-44ce-a5b9-08cac5bb1981,2024-11-20,2025-03-10,,2025-10-12,simpler.grants.gov,0743724152f73d01
,U.S. Mission to Cambodia,,Description,https://simpler.grants.gov/opportunity/69e280af-be56-4bfa-81e9-5ae7d83b1210,2019-11-08,2025-03-10,,2025-10-12,simpler.grants.gov,0751b943d57e097c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/580bf02a-af63-40f8-9fdc-e79ab5f63ad5,2025-01-14,2025-03-10,,2025-10-12,simpler.grants.gov,075ec8d2b4a82373
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/5218f1fc-2da9-4358-9d77-5159417c4331,2023-10-20,2025-03-10,,2025-10-12,simpler.grants.gov,077b1d7861258b0c
